ticker
TTD
TTM
TTWO
TV
TW
TWLO
TWO
TWOU
TWTR
TXMD
TXN
U
UA
UAA
UAL
UBER
UCTT
UGP
ULTA
UMC
UNH
UNIT
UNM
UNP
UPS
URBN
USB
UXIN
V
VALE
VEEV
VER
VFC
VG
VGR
VIACA
VICI
VIPS
VIR
VIV
VLO
VMW
VRM
VRSK
VRSN
VRTX
VST
VTR
VTRS
VZ
W
WAB
WB
WBA
WDAY
WDC
WELL
WEN
WEX
WFC
WING
WIT
WIX
WKHS
WM
WMB
WMT
WORK
WPX
WRK
WTM
WU
WUBA
WWE
WY
WYNN
X
XEC
XEL
XGN
XLNX
XOM
XPEV
XRX
YETI
YPF
YUM
YUMC
YY
Z
ZBH
ZBRA
ZEN
ZION
ZM
ZNGA
ZNH
ZS
ZTO
ZTS
